campaign_member_id,person_record_id,entity_type,campaign_id,campaign_name,campaign_type,member_status,is_responded,response_date,is_automated,is_active,scoring_person_id
CM000058,L00345,Lead,CAM0032,Webinar Campaign 032,Webinar,Sent,False,2023-05-23,True,True,C00099
CM000059,L00345,Lead,CAM0046,Webinar Campaign 046,Webinar,Sent,False,2026-01-01,True,True,C00099
CM000060,L00345,Lead,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-12-03,True,True,C00099
CM000061,L00345,Lead,CAM0021,Advertisement Campaign 021,Advertisement,Sent,False,2023-08-25,True,True,C00099
CM000062,L00345,Lead,CAM0035,Event Campaign 035,Event,Attended,True,2024-12-25,False,True,C00099
CM000063,L00345,Lead,CAM0056,Webinar Campaign 056,Webinar,Sent,False,2026-05-01,True,True,C00099
CM000064,L00345,Lead,CAM0057,Event Campaign 057,Event,Sent,False,2026-05-26,True,True,C00099
CM000065,L00166,Lead,CAM0057,Event Campaign 057,Event,Registered,True,2026-05-19,False,True,C00039
CM000066,L00166,Lead,CAM0036,Advertisement Campaign 036,Advertisement,Clicked,True,2024-09-29,False,True,C00039
CM000067,L00166,Lead,CAM0013,Content Syndication Campaign 013,Content Syndication,Sent,False,2023-05-14,False,True,C00039
CM000068,L00166,Lead,CAM0026,Telemarketing Campaign 026,Telemarketing,Clicked,True,2023-12-28,False,True,C00039
CM000069,C00277,Contact,CAM0039,Advertisement Campaign 039,Advertisement,Clicked,True,2025-01-01,False,False,C00277
CM000070,C00277,Contact,CAM0040,Webinar Campaign 040,Webinar,Attended,True,2023-11-28,False,True,C00277
CM000071,C00277,Contact,CAM0059,Content Syndication Campaign 059,Content Syndication,Clicked,True,2026-04-27,False,True,C00277
CM000072,L00506,Lead,CAM0010,Content Syndication Campaign 010,Content Syndication,Clicked,True,2024-04-24,False,False,L00506
CM000073,C00041,Contact,CAM0060,Event Campaign 060,Event,Registered,True,2026-04-16,False,False,C00041
CM000074,L00078,Lead,CAM0009,Webinar Campaign 009,Webinar,Sent,False,2024-08-19,True,True,C00068
CM000075,L00078,Lead,CAM0058,Webinar Campaign 058,Webinar,Sent,False,2026-05-15,True,True,C00068
CM000076,L00078,Lead,CAM0015,Advertisement Campaign 015,Advertisement,Sent,False,2024-05-11,True,True,C00068
CM000077,L00078,Lead,CAM0023,Webinar Campaign 023,Webinar,Attended,True,2024-05-04,False,True,C00068
CM000078,L00078,Lead,CAM0002,Telemarketing Campaign 002,Telemarketing,Sent,False,2023-03-02,False,True,C00068
CM000079,L00078,Lead,CAM0036,Advertisement Campaign 036,Advertisement,Sent,False,2024-09-17,True,True,C00068
CM000080,L00078,Lead,CAM0036,Advertisement Campaign 036,Advertisement,Sent,False,2024-09-24,True,True,C00068
CM000081,L00078,Lead,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-11-29,True,True,C00068
CM000082,L00078,Lead,CAM0018,Content Syndication Campaign 018,Content Syndication,Sent,False,2024-07-13,True,True,C00068
CM000083,L00078,Lead,CAM0047,Advertisement Campaign 047,Advertisement,Sent,False,2025-07-02,True,True,C00068
CM000084,L00078,Lead,CAM0043,Webinar Campaign 043,Webinar,Sent,False,2025-10-23,True,True,C00068
CM000085,L00078,Lead,CAM0019,Webinar Campaign 019,Webinar,Sent,False,2024-06-22,True,True,C00068
CM000086,L00078,Lead,CAM0038,Email Campaign 038,Email,Sent,False,2023-02-14,True,True,C00068
CM000087,C00373,Contact,CAM0049,Webinar Campaign 049,Webinar,Sent,False,2025-10-24,True,True,C00373
CM000088,C00373,Contact,CAM0013,Content Syndication Campaign 013,Content Syndication,Sent,False,2023-05-02,True,True,C00373
CM000089,C00373,Contact,CAM0026,Telemarketing Campaign 026,Telemarketing,Sent,False,2024-01-05,True,True,C00373
CM000090,C00373,Contact,CAM0055,Advertisement Campaign 055,Advertisement,Sent,False,2025-09-28,True,True,C00373
CM000091,C00373,Contact,CAM0021,Advertisement Campaign 021,Advertisement,Sent,False,2023-08-19,False,True,C00373
CM000092,C00373,Contact,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-02-12,True,True,C00373
CM000093,C00373,Contact,CAM0041,Email Campaign 041,Email,Responded,True,2025-05-10,False,True,C00373
CM000094,C00373,Contact,CAM0028,Telemarketing Campaign 028,Telemarketing,Sent,False,2024-12-10,True,True,C00373
CM000095,C00373,Contact,CAM0051,Webinar Campaign 051,Webinar,Sent,False,2025-03-04,True,False,C00373
CM000096,C00373,Contact,CAM0022,Event Campaign 022,Event,Sent,False,2024-05-05,True,True,C00373
CM000097,C00373,Contact,CAM0030,Event Campaign 030,Event,Sent,False,2023-09-15,True,True,C00373
CM000098,C00373,Contact,CAM0031,Email Campaign 031,Email,Sent,False,2024-02-17,True,True,C00373
CM000099,C00319,Contact,CAM0056,Webinar Campaign 056,Webinar,Sent,False,2026-04-19,True,True,C00319
CM000100,C00319,Contact,CAM0022,Event Campaign 022,Event,No Show,True,2024-05-10,False,True,C00319
CM000101,C00319,Contact,CAM0018,Content Syndication Campaign 018,Content Syndication,Sent,False,2024-06-15,True,True,C00319
CM000102,C00319,Contact,CAM0044,Event Campaign 044,Event,Sent,False,2025-10-11,True,True,C00319
CM000103,C00319,Contact,CAM0008,Email Campaign 008,Email,Responded,True,2023-05-15,False,True,C00319
CM000104,C00319,Contact,CAM0023,Webinar Campaign 023,Webinar,Sent,False,2024-05-13,True,True,C00319
CM000105,C00319,Contact,CAM0012,Telemarketing Campaign 012,Telemarketing,Sent,False,2023-11-01,True,True,C00319
CM000106,C00319,Contact,CAM0054,Email Campaign 054,Email,Sent,False,2026-01-10,True,True,C00319
CM000107,L00210,Lead,CAM0039,Advertisement Campaign 039,Advertisement,Sent,False,2025-01-13,True,True,L00210
CM000108,L00210,Lead,CAM0014,Content Syndication Campaign 014,Content Syndication,Sent,False,2024-12-01,True,True,L00210
CM000109,L00210,Lead,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-02-14,True,True,L00210
CM000110,L00210,Lead,CAM0053,Email Campaign 053,Email,Sent,False,2025-05-21,True,True,L00210
CM000111,L00210,Lead,CAM0012,Telemarketing Campaign 012,Telemarketing,Sent,False,2023-10-23,True,True,L00210
CM000112,L00210,Lead,CAM0024,Advertisement Campaign 024,Advertisement,Clicked,True,2024-04-04,False,True,L00210
CM000113,L00210,Lead,CAM0018,Content Syndication Campaign 018,Content Syndication,Sent,False,2024-06-19,True,True,L00210
CM000114,L00210,Lead,CAM0011,Webinar Campaign 011,Webinar,Sent,False,2024-01-26,True,True,L00210
CM000115,L00210,Lead,CAM0024,Advertisement Campaign 024,Advertisement,Sent,False,2024-03-27,True,True,L00210
CM000116,L00210,Lead,CAM0037,Email Campaign 037,Email,Sent,False,2024-03-07,True,True,L00210
CM000117,L00210,Lead,CAM0004,Advertisement Campaign 004,Advertisement,Sent,False,2023-12-21,True,True,L00210
CM000118,L00210,Lead,CAM0013,Content Syndication Campaign 013,Content Syndication,Sent,False,2023-04-22,True,True,L00210
CM000119,L00210,Lead,CAM0050,Webinar Campaign 050,Webinar,Sent,False,2025-09-11,True,True,L00210
CM000120,L00210,Lead,CAM0016,Content Syndication Campaign 016,Content Syndication,Sent,False,2023-09-18,True,True,L00210
CM000121,L00210,Lead,CAM0021,Advertisement Campaign 021,Advertisement,Sent,False,2023-08-20,True,False,L00210
CM000122,L00210,Lead,CAM0041,Email Campaign 041,Email,Sent,False,2025-04-29,True,True,L00210
CM000123,C00106,Contact,CAM0034,Webinar Campaign 034,Webinar,Sent,False,2024-05-25,True,True,C00106
CM000124,C00106,Contact,CAM0010,Content Syndication Campaign 010,Content Syndication,Sent,False,2024-04-06,True,True,C00106
CM000125,C00106,Contact,CAM0049,Webinar Campaign 049,Webinar,Sent,False,2025-10-24,True,True,C00106
CM000126,C00106,Contact,CAM0047,Advertisement Campaign 047,Advertisement,Clicked,True,2025-06-18,False,True,C00106
CM000127,C00106,Contact,CAM0012,Telemarketing Campaign 012,Telemarketing,Sent,False,2023-11-02,True,True,C00106
CM000128,C00106,Contact,CAM0003,Event Campaign 003,Event,Sent,False,2023-10-24,True,True,C00106
CM000129,C00106,Contact,CAM0001,Email Campaign 001,Email,Sent,False,2024-10-27,True,True,C00106
CM000130,C00106,Contact,CAM0018,Content Syndication Campaign 018,Content Syndication,Sent,False,2024-06-29,True,False,C00106
CM000131,C00106,Contact,CAM0008,Email Campaign 008,Email,Sent,False,2023-04-30,True,True,C00106
CM000132,C00106,Contact,CAM0002,Telemarketing Campaign 002,Telemarketing,Sent,False,2023-03-15,True,True,C00106
CM000133,C00106,Contact,CAM0028,Telemarketing Campaign 028,Telemarketing,Sent,False,2024-12-09,True,True,C00106
CM000134,C00234,Contact,CAM0044,Event Campaign 044,Event,Registered,True,2025-10-20,False,True,C00234
CM000135,C00234,Contact,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-12-09,False,True,C00234
CM000136,L00134,Lead,CAM0031,Email Campaign 031,Email,Responded,True,2024-02-14,False,True,C00290
CM000137,L00134,Lead,CAM0008,Email Campaign 008,Email,Sent,False,2023-04-28,True,True,C00290
CM000138,L00134,Lead,CAM0052,Advertisement Campaign 052,Advertisement,Sent,False,2025-05-18,True,True,C00290
CM000139,L00134,Lead,CAM0018,Content Syndication Campaign 018,Content Syndication,Sent,False,2024-07-04,True,False,C00290
CM000140,L00134,Lead,CAM0045,Email Campaign 045,Email,Sent,False,2025-04-17,True,True,C00290
CM000141,L00134,Lead,CAM0039,Advertisement Campaign 039,Advertisement,Sent,False,2025-01-11,True,True,C00290
CM000142,L00134,Lead,CAM0022,Event Campaign 022,Event,Sent,False,2024-05-05,True,True,C00290
CM000143,L00134,Lead,CAM0047,Advertisement Campaign 047,Advertisement,Sent,False,2025-06-18,True,False,C00290
CM000144,L00134,Lead,CAM0040,Webinar Campaign 040,Webinar,Registered,True,2023-12-11,False,True,C00290
CM000145,L00134,Lead,CAM0045,Email Campaign 045,Email,Sent,False,2025-04-22,True,True,C00290
CM000146,L00134,Lead,CAM0058,Webinar Campaign 058,Webinar,Sent,False,2026-05-13,True,True,C00290
CM000147,L00134,Lead,CAM0017,Content Syndication Campaign 017,Content Syndication,Sent,False,2023-11-04,True,True,C00290
CM000148,L00134,Lead,CAM0046,Webinar Campaign 046,Webinar,Sent,False,2026-01-26,True,True,C00290
CM000149,L00134,Lead,CAM0003,Event Campaign 003,Event,Registered,True,2023-11-15,False,True,C00290
CM000150,L00134,Lead,CAM0043,Webinar Campaign 043,Webinar,Sent,False,2025-10-15,True,True,C00290
CM000151,C00036,Contact,CAM0057,Event Campaign 057,Event,Sent,False,2026-05-11,True,False,C00036
CM000152,C00036,Contact,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-11-16,True,True,C00036
CM000153,C00036,Contact,CAM0057,Event Campaign 057,Event,Sent,False,2026-05-08,True,True,C00036
CM000154,C00036,Contact,CAM0049,Webinar Campaign 049,Webinar,Sent,False,2025-10-19,True,True,C00036
CM000155,C00036,Contact,CAM0043,Webinar Campaign 043,Webinar,No Show,True,2025-10-07,False,True,C00036
CM000156,C00036,Contact,CAM0015,Advertisement Campaign 015,Advertisement,Sent,False,2024-05-11,True,True,C00036
CM000157,C00036,Contact,CAM0013,Content Syndication Campaign 013,Content Syndication,Sent,False,2023-04-30,True,True,C00036
CM000158,C00036,Contact,CAM0026,Telemarketing Campaign 026,Telemarketing,Sent,False,2023-12-14,True,True,C00036
CM000159,C00036,Contact,CAM0011,Webinar Campaign 011,Webinar,Sent,False,2023-12-29,True,True,C00036
CM000160,C00036,Contact,CAM0040,Webinar Campaign 040,Webinar,Attended,True,2023-12-15,False,True,C00036
CM000161,C00036,Contact,CAM0046,Webinar Campaign 046,Webinar,Attended,True,2026-01-10,False,True,C00036
CM000162,C00036,Contact,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-01-20,True,True,C00036
CM000163,C00036,Contact,CAM0042,Advertisement Campaign 042,Advertisement,Clicked,True,2025-12-16,False,True,C00036
CM000164,C00036,Contact,CAM0047,Advertisement Campaign 047,Advertisement,Sent,False,2025-07-01,True,True,C00036
CM000165,C00036,Contact,CAM0055,Advertisement Campaign 055,Advertisement,Sent,False,2025-10-09,True,True,C00036
CM000166,C00036,Contact,CAM0042,Advertisement Campaign 042,Advertisement,Sent,False,2025-11-29,True,True,C00036
CM000167,C00279,Contact,CAM0058,Webinar Campaign 058,Webinar,No Show,True,2026-05-18,False,True,C00279
CM000168,C00279,Contact,CAM0025,Event Campaign 025,Event,Registered,True,2023-03-17,False,True,C00279
CM000169,L00564,Lead,CAM0057,Event Campaign 057,Event,Attended,True,2026-05-13,False,True,L00564
CM000170,L00564,Lead,CAM0027,Advertisement Campaign 027,Advertisement,Clicked,True,2024-04-14,False,True,L00564
CM000171,L00564,Lead,CAM0015,Advertisement Campaign 015,Advertisement,Clicked,True,2024-05-02,False,True,L00564
CM000172,C00339,Contact,CAM0008,Email Campaign 008,Email,Sent,False,2023-05-01,True,True,C00339
CM000173,C00339,Contact,CAM0016,Content Syndication Campaign 016,Content Syndication,Sent,False,2023-09-05,True,True,C00339
CM000174,C00339,Contact,CAM0014,Content Syndication Campaign 014,Content Syndication,Sent,False,2024-11-17,True,True,C00339
CM000175,C00339,Contact,CAM0056,Webinar Campaign 056,Webinar,Sent,False,2026-04-25,True,True,C00339
CM000176,C00339,Contact,CAM0033,Advertisement Campaign 033,Advertisement,Sent,False,2023-03-29,False,True,C00339
CM000177,C00339,Contact,CAM0010,Content Syndication Campaign 010,Content Syndication,Responded,True,2024-05-05,False,True,C00339
CM000178,C00339,Contact,CAM0048,Event Campaign 048,Event,Sent,False,2025-07-20,True,True,C00339
CM000179,C00339,Contact,CAM0018,Content Syndication Campaign 018,Content Syndication,Sent,False,2024-06-29,True,True,C00339
CM000180,C00339,Contact,CAM0014,Content Syndication Campaign 014,Content Syndication,Sent,False,2024-11-16,False,True,C00339
CM000181,C00339,Contact,CAM0030,Event Campaign 030,Event,Sent,False,2023-10-05,True,True,C00339
CM000182,C00339,Contact,CAM0048,Event Campaign 048,Event,Sent,False,2025-08-03,True,True,C00339
CM000183,C00339,Contact,CAM0051,Webinar Campaign 051,Webinar,Sent,False,2025-03-15,True,True,C00339
CM000184,C00339,Contact,CAM0001,Email Campaign 001,Email,Sent,False,2024-10-17,True,False,C00339
CM000185,C00339,Contact,CAM0054,Email Campaign 054,Email,Sent,False,2026-01-06,True,True,C00339
CM000186,C00339,Contact,CAM0060,Event Campaign 060,Event,Sent,False,2026-04-26,True,True,C00339
CM000187,L00045,Lead,CAM0028,Telemarketing Campaign 028,Telemarketing,Sent,False,2024-12-02,False,True,L00045
CM000188,L00045,Lead,CAM0009,Webinar Campaign 009,Webinar,Registered,True,2024-08-15,False,True,L00045
CM000189,L00045,Lead,CAM0051,Webinar Campaign 051,Webinar,Attended,True,2025-03-09,False,True,L00045
CM000190,L00045,Lead,CAM0028,Telemarketing Campaign 028,Telemarketing,Responded,True,2024-12-16,False,True,L00045
CM000191,L00045,Lead,CAM0053,Email Campaign 053,Email,Sent,False,2025-05-15,True,False,L00045
CM000192,C00331,Contact,CAM0043,Webinar Campaign 043,Webinar,Attended,True,2025-10-12,False,True,C00331
CM000193,C00331,Contact,CAM0006,Telemarketing Campaign 006,Telemarketing,Clicked,True,2023-04-11,False,True,C00331
CM000194,C00331,Contact,CAM0055,Advertisement Campaign 055,Advertisement,Clicked,True,2025-09-18,False,True,C00331
CM000195,C00331,Contact,CAM0010,Content Syndication Campaign 010,Content Syndication,Clicked,True,2024-04-12,False,True,C00331
CM000196,C00386,Contact,CAM0001,Email Campaign 001,Email,Sent,False,2024-10-07,True,True,C00386
CM000197,L00168,Lead,CAM0058,Webinar Campaign 058,Webinar,Registered,True,2026-05-20,False,True,C00072
CM000198,L00168,Lead,CAM0051,Webinar Campaign 051,Webinar,Registered,True,2025-03-15,False,True,C00072
CM000199,L00168,Lead,CAM0040,Webinar Campaign 040,Webinar,Attended,True,2023-12-05,False,True,C00072
CM000200,L00479,Lead,CAM0021,Advertisement Campaign 021,Advertisement,Sent,False,2023-08-14,True,True,L00479
CM000201,L00479,Lead,CAM0028,Telemarketing Campaign 028,Telemarketing,Sent,False,2024-12-18,True,True,L00479
CM000202,L00479,Lead,CAM0028,Telemarketing Campaign 028,Telemarketing,Sent,False,2024-11-28,True,True,L00479
CM000203,L00479,Lead,CAM0045,Email Campaign 045,Email,Sent,False,2025-04-27,True,True,L00479
CM000204,L00479,Lead,CAM0032,Webinar Campaign 032,Webinar,Attended,True,2023-05-25,False,True,L00479
CM000205,L00479,Lead,CAM0048,Event Campaign 048,Event,Sent,False,2025-08-06,True,True,L00479
CM000206,L00479,Lead,CAM0018,Content Syndication Campaign 018,Content Syndication,Clicked,True,2024-06-25,False,True,L00479
CM000207,L00479,Lead,CAM0014,Content Syndication Campaign 014,Content Syndication,Sent,False,2024-11-21,True,False,L00479
CM000208,L00479,Lead,CAM0033,Advertisement Campaign 033,Advertisement,Sent,False,2023-03-31,True,True,L00479
CM000209,L00479,Lead,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-11-19,True,True,L00479
CM000210,L00479,Lead,CAM0046,Webinar Campaign 046,Webinar,Sent,False,2025-12-30,True,True,L00479
CM000211,L00479,Lead,CAM0012,Telemarketing Campaign 012,Telemarketing,Clicked,True,2023-10-23,False,True,L00479
CM000212,L00479,Lead,CAM0055,Advertisement Campaign 055,Advertisement,Sent,False,2025-09-19,True,True,L00479
CM000213,L00479,Lead,CAM0060,Event Campaign 060,Event,Sent,False,2026-04-25,True,True,L00479
CM000214,L00479,Lead,CAM0033,Advertisement Campaign 033,Advertisement,Clicked,True,2023-03-26,False,True,L00479
CM000215,L00479,Lead,CAM0019,Webinar Campaign 019,Webinar,Sent,False,2024-06-30,True,True,L00479
CM000216,L00479,Lead,CAM0021,Advertisement Campaign 021,Advertisement,Sent,False,2023-08-30,True,True,L00479
CM000217,L00479,Lead,CAM0026,Telemarketing Campaign 026,Telemarketing,Sent,False,2023-12-21,True,True,L00479
CM000218,L00479,Lead,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-02-16,True,True,L00479
CM000219,L00479,Lead,CAM0005,Telemarketing Campaign 005,Telemarketing,Sent,False,2024-08-15,True,True,L00479
CM000220,L00479,Lead,CAM0012,Telemarketing Campaign 012,Telemarketing,Sent,False,2023-10-28,True,True,L00479
CM000221,L00479,Lead,CAM0048,Event Campaign 048,Event,Sent,False,2025-07-13,True,False,L00479
CM000222,L00479,Lead,CAM0004,Advertisement Campaign 004,Advertisement,Sent,False,2023-12-10,True,True,L00479
CM000223,L00479,Lead,CAM0027,Advertisement Campaign 027,Advertisement,Sent,False,2024-03-24,False,True,L00479
CM000224,L00479,Lead,CAM0053,Email Campaign 053,Email,Sent,False,2025-05-26,True,True,L00479
CM000225,L00479,Lead,CAM0006,Telemarketing Campaign 006,Telemarketing,Sent,False,2023-04-14,True,True,L00479
CM000226,L00479,Lead,CAM0056,Webinar Campaign 056,Webinar,Registered,True,2026-04-23,False,True,L00479
CM000227,L00479,Lead,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-02-08,True,True,L00479
CM000228,L00479,Lead,CAM0026,Telemarketing Campaign 026,Telemarketing,Clicked,True,2024-01-01,False,True,L00479
CM000229,L00479,Lead,CAM0043,Webinar Campaign 043,Webinar,Registered,True,2025-10-10,False,True,L00479
CM000230,L00479,Lead,CAM0047,Advertisement Campaign 047,Advertisement,Sent,False,2025-07-12,True,True,L00479
CM000231,L00479,Lead,CAM0029,Webinar Campaign 029,Webinar,No Show,True,2024-02-16,False,True,L00479
CM000232,L00479,Lead,CAM0005,Telemarketing Campaign 005,Telemarketing,Clicked,True,2024-08-15,False,True,L00479
CM000233,L00479,Lead,CAM0059,Content Syndication Campaign 059,Content Syndication,Sent,False,2026-05-08,True,False,L00479
CM000234,L00479,Lead,CAM0001,Email Campaign 001,Email,Sent,False,2024-10-09,True,True,L00479
CM000235,L00479,Lead,CAM0053,Email Campaign 053,Email,Sent,False,2025-05-28,True,True,L00479
CM000236,L00479,Lead,CAM0027,Advertisement Campaign 027,Advertisement,Sent,False,2024-04-11,True,True,L00479
CM000237,L00479,Lead,CAM0031,Email Campaign 031,Email,Sent,False,2024-03-03,True,True,L00479
CM000238,L00479,Lead,CAM0046,Webinar Campaign 046,Webinar,Sent,False,2026-01-21,True,True,L00479
CM000239,L00479,Lead,CAM0057,Event Campaign 057,Event,Sent,False,2026-05-29,True,True,L00479
CM000240,C00068,Contact,CAM0052,Advertisement Campaign 052,Advertisement,Sent,False,2025-05-14,False,True,C00068
CM000241,C00068,Contact,CAM0008,Email Campaign 008,Email,Sent,False,2023-05-12,True,True,C00068
CM000242,C00313,Contact,CAM0055,Advertisement Campaign 055,Advertisement,Sent,False,2025-10-14,True,True,C00313
CM000243,C00313,Contact,CAM0019,Webinar Campaign 019,Webinar,Sent,False,2024-06-23,True,True,C00313
CM000244,C00313,Contact,CAM0019,Webinar Campaign 019,Webinar,Sent,False,2024-06-30,True,True,C00313
CM000245,C00313,Contact,CAM0018,Content Syndication Campaign 018,Content Syndication,Clicked,True,2024-06-15,False,True,C00313
